date,fips_code,state,county,living_wage,poverty_wage,minimum_wage,year
20210414194425,01007,Alabama,Bibb County,15.16,6.13,7.25,2021
20210804182955,01007,Alabama,Bibb County,15.16,6.13,7.25,2021
20211203155613,01007,Alabama,Bibb County,15.16,6.13,7.25,2021
20130530015534,01009,Alabama,Blount County,9.2,5.21,7.25,2013
20150112095853,01009,Alabama,Blount County,9.2,5.21,7.25,2015
20150910135351,01009,Alabama,Blount County,10.36,5.0,7.25,2015
20151210100834,01009,Alabama,Blount County,10.36,5.0,7.25,2015
20160113064435,01009,Alabama,Blount County,10.36,5.0,7.25,2016
20160831190322,01009,Alabama,Blount County,10.33,5.0,7.25,2016
20161203181926,01009,Alabama,Blount County,10.33,5.0,7.25,2016
20170608163820,01009,Alabama,Blount County,10.98,5.0,7.25,2017
20190715174339,01009,Alabama,Blount County,12.09,5.84,7.25,2019
20200807034727,01009,Alabama,Blount County,12.0,6.0,7.25,2020
20201026212732,01009,Alabama,Blount County,12.0,6.0,7.25,2020
20210121051735,01009,Alabama,Blount County,12.0,6.0,7.25,2021
20210414224839,01009,Alabama,Blount County,15.16,6.13,7.25,2021
20210729022720,01009,Alabama,Blount County,15.16,6.13,7.25,2021
20211016053447,01009,Alabama,Blount County,15.16,6.13,7.25,2021
20220127052632,01009,Alabama,Blount County,15.16,6.13,7.25,2022
20130602073035,01011,Alabama,Bullock County,7.75,5.21,7.25,2013
20150910091551,01011,Alabama,Bullock County,9.89,5.0,7.25,2015
20160311154650,01011,Alabama,Bullock County,9.89,5.0,7.25,2016
20160511121730,01011,Alabama,Bullock County,9.89,5.0,7.25,2016
20160831213429,01011,Alabama,Bullock County,9.91,5.0,7.25,2016
20161203190630,01011,Alabama,Bullock County,9.91,5.0,7.25,2016
20170608140017,01011,Alabama,Bullock County,9.92,5.0,7.25,2017
20190715174344,01011,Alabama,Bullock County,10.72,5.84,7.25,2019
20200807033934,01011,Alabama,Bullock County,10.6,6.0,7.25,2020
20201026211805,01011,Alabama,Bullock County,10.6,6.0,7.25,2020
20210121050945,01011,Alabama,Bullock County,10.6,6.0,7.25,2021
20210414223706,01011,Alabama,Bullock County,12.81,6.13,7.25,2021
20210729021818,01011,Alabama,Bullock County,12.81,6.13,7.25,2021
20211016052442,01011,Alabama,Bullock County,12.81,6.13,7.25,2021
20220127051934,01011,Alabama,Bullock County,12.81,6.13,7.25,2022
20130529101739,01013,Alabama,Butler County,7.75,5.21,7.25,2013
20150910134132,01013,Alabama,Butler County,9.72,5.0,7.25,2015
20160311154655,01013,Alabama,Butler County,9.72,5.0,7.25,2016
20160511121735,01013,Alabama,Butler County,9.72,5.0,7.25,2016
20160831165146,01013,Alabama,Butler County,9.73,5.0,7.25,2016
20161203164251,01013,Alabama,Butler County,9.73,5.0,7.25,2016
20170319163244,01013,Alabama,Butler County,9.73,5.0,7.25,2017
20170607101715,01013,Alabama,Butler County,9.73,5.0,7.25,2017
20170708055917,01013,Alabama,Butler County,9.73,5.0,7.25,2017
20190715174349,01013,Alabama,Butler County,10.52,5.84,7.25,2019
20200926221901,01013,Alabama,Butler County,10.47,6.0,7.25,2020
20210119001152,01013,Alabama,Butler County,10.47,6.0,7.25,2021
20210420162919,01013,Alabama,Butler County,12.81,6.13,7.25,2021
20210728035137,01013,Alabama,Butler County,12.81,6.13,7.25,2021
20211020095900,01013,Alabama,Butler County,12.81,6.13,7.25,2021
20130602050716,01015,Alabama,Calhoun County,7.97,5.21,7.25,2013
20140309060248,01015,Alabama,Calhoun County,7.97,5.21,7.25,2014
20150910083119,01015,Alabama,Calhoun County,10.16,5.0,7.25,2015
20160311154700,01015,Alabama,Calhoun County,10.16,5.0,7.25,2016
20160511121742,01015,Alabama,Calhoun County,10.16,5.0,7.25,2016
20160821132705,01015,Alabama,Calhoun County,9.98,5.0,7.25,2016
20160831142908,01015,Alabama,Calhoun County,9.98,5.0,7.25,2016
20160925161743,01015,Alabama,Calhoun County,9.98,5.0,7.25,2016
20161113223201,01015,Alabama,Calhoun County,9.98,5.0,7.25,2016
20161203134812,01015,Alabama,Calhoun County,9.98,5.0,7.25,2016
20170608152501,01015,Alabama,Calhoun County,9.88,5.0,7.25,2017
20190715174354,01015,Alabama,Calhoun County,10.68,5.84,7.25,2019
20200926223240,01015,Alabama,Calhoun County,10.37,6.0,7.25,2020
20210119001708,01015,Alabama,Calhoun County,10.37,6.0,7.25,2021
20210420163856,01015,Alabama,Calhoun County,12.77,6.13,7.25,2021
20210728040543,01015,Alabama,Calhoun County,12.77,6.13,7.25,2021
20211020101327,01015,Alabama,Calhoun County,12.77,6.13,7.25,2021
20150910084830,01017,Alabama,Chambers County,9.88,5.0,7.25,2015
20160311154705,01017,Alabama,Chambers County,9.88,5.0,7.25,2016
20160511121745,01017,Alabama,Chambers County,9.88,5.0,7.25,2016
20160831161154,01017,Alabama,Chambers County,10.11,5.0,7.25,2016
20161203160507,01017,Alabama,Chambers County,10.11,5.0,7.25,2016
20170608155443,01017,Alabama,Chambers County,9.76,5.0,7.25,2017
20190715174359,01017,Alabama,Chambers County,10.44,5.84,7.25,2019
20200804003907,01017,Alabama,Chambers County,10.43,6.0,7.25,2020
20201027042441,01017,Alabama,Chambers County,10.43,6.0,7.25,2020
20210122003133,01017,Alabama,Chambers County,10.43,6.0,7.25,2021
20210413012258,01017,Alabama,Chambers County,12.89,6.13,7.25,2021
20210801173148,01017,Alabama,Chambers County,12.89,6.13,7.25,2021
20211017221213,01017,Alabama,Chambers County,12.89,6.13,7.25,2021
20220122210613,01017,Alabama,Chambers County,12.89,6.13,7.25,2022
20130529172549,01019,Alabama,Cherokee County,8.25,5.21,7.25,2013
20150910134249,01019,Alabama,Cherokee County,9.89,5.0,7.25,2015
20160311154710,01019,Alabama,Cherokee County,9.89,5.0,7.25,2016
20160511121305,01019,Alabama,Cherokee County,9.89,5.0,7.25,2016
20160831200104,01019,Alabama,Cherokee County,9.91,5.0,7.25,2016
20161203165633,01019,Alabama,Cherokee County,9.91,5.0,7.25,2016
20170608140022,01019,Alabama,Cherokee County,9.73,5.0,7.25,2017
20190715174404,01019,Alabama,Cherokee County,10.52,5.84,7.25,2019
20200921040127,01019,Alabama,Cherokee County,10.47,6.0,7.25,2020
20201204054804,01019,Alabama,Cherokee County,10.47,6.0,7.25,2020
20210225194707,01019,Alabama,Cherokee County,13.38,6.13,7.25,2021
20210511202215,01019,Alabama,Cherokee County,12.72,6.13,7.25,2021
20210727060018,01019,Alabama,Cherokee County,12.72,6.13,7.25,2021
20211028144347,01019,Alabama,Cherokee County,12.72,6.13,7.25,2021
20130602033828,01021,Alabama,Chilton County,7.76,5.21,7.25,2013
20150910081151,01021,Alabama,Chilton County,9.53,5.0,7.25,2015
20160311154715,01021,Alabama,Chilton County,9.53,5.0,7.25,2016
20160511121224,01021,Alabama,Chilton County,9.53,5.0,7.25,2016
20160831141659,01021,Alabama,Chilton County,9.53,5.0,7.25,2016
20161203133235,01021,Alabama,Chilton County,9.53,5.0,7.25,2016
20170608152506,01021,Alabama,Chilton County,9.78,5.0,7.25,2017
20190715174409,01021,Alabama,Chilton County,10.87,5.84,7.25,2019
20200813201525,01021,Alabama,Chilton County,10.76,6.0,7.25,2020
20201020174143,01021,Alabama,Chilton County,10.76,6.0,7.25,2020
20210118074437,01021,Alabama,Chilton County,10.76,6.0,7.25,2021
20210415080530,01021,Alabama,Chilton County,13.66,6.13,7.25,2021
20210805045552,01021,Alabama,Chilton County,13.66,6.13,7.25,2021
20211201221927,01021,Alabama,Chilton County,13.66,6.13,7.25,2021
20130530021623,01023,Alabama,Choctaw County,8.1,5.21,7.25,2013
20150910084736,01023,Alabama,Choctaw County,10.25,5.0,7.25,2015
20160311154720,01023,Alabama,Choctaw County,10.25,5.0,7.25,2016
20160511121312,01023,Alabama,Choctaw County,10.25,5.0,7.25,2016
20160831160825,01023,Alabama,Choctaw County,10.17,5.0,7.25,2016
20161203155953,01023,Alabama,Choctaw County,10.17,5.0,7.25,2016
20170608142714,01023,Alabama,Choctaw County,10.18,5.0,7.25,2017
20190715174414,01023,Alabama,Choctaw County,10.87,5.84,7.25,2019
20201027043157,01023,Alabama,Choctaw County,10.64,6.0,7.25,2020
20210121055132,01023,Alabama,Choctaw County,10.64,6.0,7.25,2021
20210411105533,01023,Alabama,Choctaw County,12.75,6.13,7.25,2021
20210617054935,01023,Alabama,Choctaw County,12.75,6.13,7.25,2021
20210926132052,01023,Alabama,Choctaw County,12.75,6.13,7.25,2021
20220125054007,01023,Alabama,Choctaw County,12.75,6.13,7.25,2022
20130602055335,01025,Alabama,Clarke County,7.39,5.21,7.25,2013
20150910091623,01025,Alabama,Clarke County,9.77,5.0,7.25,2015
20160310064905,01025,Alabama,Clarke County,9.77,5.0,7.25,2016
20160413021119,01025,Alabama,Clarke County,9.77,5.0,7.25,2016
20160514033953,01025,Alabama,Clarke County,9.77,5.0,7.25,2016
