datetime,fips_code,state,county,living_wage,poverty_wage,minimum_wage,year
20210121055132,01023,Alabama,Choctaw County,10.64,6.0,7.25,2021
20220125054007,01023,Alabama,Choctaw County,12.75,6.13,7.25,2022
20130602055335,01025,Alabama,Clarke County,7.39,5.21,7.25,2013
20150910091623,01025,Alabama,Clarke County,9.77,5.0,7.25,2015
20160310064905,01025,Alabama,Clarke County,9.77,5.0,7.25,2016
20170608150427,01025,Alabama,Clarke County,10.03,5.0,7.25,2017
20190715174420,01025,Alabama,Clarke County,10.72,5.84,7.25,2019
20201027043545,01025,Alabama,Clarke County,10.6,6.0,7.25,2020
20210122005857,01025,Alabama,Clarke County,10.6,6.0,7.25,2021
20220122213921,01025,Alabama,Clarke County,12.81,6.13,7.25,2022
20130530044825,01027,Alabama,Clay County,8.11,5.21,7.25,2013
20150910134352,01027,Alabama,Clay County,9.67,5.0,7.25,2015
20160311154725,01027,Alabama,Clay County,9.67,5.0,7.25,2016
20170608152511,01027,Alabama,Clay County,9.84,5.0,7.25,2017
20190715174424,01027,Alabama,Clay County,10.92,5.84,7.25,2019
20200807044315,01027,Alabama,Clay County,10.88,6.0,7.25,2020
20210122011301,01027,Alabama,Clay County,10.88,6.0,7.25,2021
20220122215114,01027,Alabama,Clay County,12.87,6.13,7.25,2022
20130602045525,01029,Alabama,Cleburne County,8.14,5.21,7.25,2013
20150910085017,01029,Alabama,Cleburne County,9.79,5.0,7.25,2015
20160311154730,01029,Alabama,Cleburne County,9.79,5.0,7.25,2016
20170608134955,01029,Alabama,Cleburne County,10.04,5.0,7.25,2017
20190715174429,01029,Alabama,Cleburne County,10.65,5.84,7.25,2019
20200813210142,01029,Alabama,Cleburne County,10.47,6.0,7.25,2020
20210118084148,01029,Alabama,Cleburne County,10.47,6.0,7.25,2021
20130529091850,01031,Alabama,Coffee County,7.97,5.21,7.25,2013
20150223221702,01031,Alabama,Coffee County,7.97,5.21,7.25,2015
20160831152256,01031,Alabama,Coffee County,9.89,5.0,7.25,2016
20170608135000,01031,Alabama,Coffee County,9.98,5.0,7.25,2017
20180531204246,01031,Alabama,Coffee County,10.83,5.0,7.25,2018
20190122073502,01031,Alabama,Coffee County,10.83,5.8,7.25,2019
20201027044330,01031,Alabama,Coffee County,11.01,6.0,7.25,2020
20210122011510,01031,Alabama,Coffee County,11.01,6.0,7.25,2021
20220122215757,01031,Alabama,Coffee County,13.1,6.13,7.25,2022
20150826225536,01033,Alabama,Colbert County,10.17,5.0,7.25,2015
20160423053801,01033,Alabama,Colbert County,10.17,5.0,7.25,2016
20170608152516,01033,Alabama,Colbert County,10.09,5.0,7.25,2017
20190317102933,01033,Alabama,Colbert County,11.0,5.84,7.25,2019
20200921021128,01033,Alabama,Colbert County,10.85,6.0,7.25,2020
20210225184038,01033,Alabama,Colbert County,13.62,6.13,7.25,2021
20220127043931,01033,Alabama,Colbert County,12.98,6.13,7.25,2022
20130530010656,01035,Alabama,Conecuh County,8.1,5.21,7.25,2013
20140203204559,01035,Alabama,Conecuh County,8.1,5.21,7.25,2014
20150910090609,01035,Alabama,Conecuh County,9.75,5.0,7.25,2015
20160107122603,01035,Alabama,Conecuh County,9.75,5.0,7.25,2016
20170608163825,01035,Alabama,Conecuh County,9.73,5.0,7.25,2017
20180113025434,01035,Alabama,Conecuh County,9.73,5.0,7.25,2018
20190715174434,01035,Alabama,Conecuh County,10.52,5.84,7.25,2019
20201022180750,01035,Alabama,Conecuh County,10.48,6.0,7.25,2020
20210124055749,01035,Alabama,Conecuh County,10.48,6.0,7.25,2021
20220127050144,01035,Alabama,Conecuh County,12.81,6.13,7.25,2022
20130602055152,01037,Alabama,Coosa County,8.03,5.21,7.25,2013
20150910135308,01037,Alabama,Coosa County,9.89,5.0,7.25,2015
20160311154736,01037,Alabama,Coosa County,9.89,5.0,7.25,2016
20170608140027,01037,Alabama,Coosa County,9.87,5.0,7.25,2017
20180623024406,01037,Alabama,Coosa County,10.79,5.0,7.25,2018
20190102071807,01037,Alabama,Coosa County,10.79,5.8,7.25,2019
20200928090117,01037,Alabama,Coosa County,10.7,6.0,7.25,2020
20210124221834,01037,Alabama,Coosa County,10.7,6.0,7.25,2021
20220127051654,01037,Alabama,Coosa County,12.99,6.13,7.25,2022
20130602023022,01039,Alabama,Covington County,8.11,5.21,7.25,2013
20150910082859,01039,Alabama,Covington County,9.77,5.0,7.25,2015
20160311154740,01039,Alabama,Covington County,9.77,5.0,7.25,2016
20170608162755,01039,Alabama,Covington County,9.73,5.0,7.25,2017
20190715174439,01039,Alabama,Covington County,10.52,5.84,7.25,2019
20200807034843,01039,Alabama,Covington County,10.55,6.0,7.25,2020
20210121051916,01039,Alabama,Covington County,10.55,6.0,7.25,2021
20130529091751,01041,Alabama,Crenshaw County,7.75,5.21,7.25,2013
20141115091320,01041,Alabama,Crenshaw County,7.75,5.21,7.25,2014
20150910085149,01041,Alabama,Crenshaw County,9.68,5.0,7.25,2015
20160831162241,01041,Alabama,Crenshaw County,9.65,5.0,7.25,2016
20170608155449,01041,Alabama,Crenshaw County,9.73,5.0,7.25,2017
20190715174444,01041,Alabama,Crenshaw County,10.54,5.84,7.25,2019
20200807034535,01041,Alabama,Crenshaw County,10.47,6.0,7.25,2020
20210121051331,01041,Alabama,Crenshaw County,10.47,6.0,7.25,2021
20220127052246,01041,Alabama,Crenshaw County,12.72,6.13,7.25,2022
20141203171236,01043,Alabama,Cullman County,8.25,5.21,7.25,2014
20150109001531,01043,Alabama,Cullman County,8.25,5.21,7.25,2015
20160311154745,01043,Alabama,Cullman County,9.95,5.0,7.25,2016
20170608135005,01043,Alabama,Cullman County,9.85,5.0,7.25,2017
20190715174449,01043,Alabama,Cullman County,10.65,5.84,7.25,2019
20200807035335,01043,Alabama,Cullman County,10.63,6.0,7.25,2020
20210121052154,01043,Alabama,Cullman County,10.63,6.0,7.25,2021
20130530010828,01045,Alabama,Dale County,7.88,5.21,7.25,2013
20150315060401,01045,Alabama,Dale County,7.88,5.21,7.25,2015
20160301111430,01045,Alabama,Dale County,9.38,5.0,7.25,2016
20170608163830,01045,Alabama,Dale County,9.41,5.0,7.25,2017
20190715174454,01045,Alabama,Dale County,10.19,5.84,7.25,2019
20200926223731,01045,Alabama,Dale County,10.5,6.0,7.25,2020
20210119001809,01045,Alabama,Dale County,10.5,6.0,7.25,2021
20130602055001,01047,Alabama,Dallas County,7.44,5.21,7.25,2013
20150910135912,01047,Alabama,Dallas County,9.27,5.0,7.25,2015
20160311155400,01047,Alabama,Dallas County,9.27,5.0,7.25,2016
20170608162800,01047,Alabama,Dallas County,9.64,5.0,7.25,2017
20190715174459,01047,Alabama,Dallas County,10.66,5.84,7.25,2019
20200813201134,01047,Alabama,Dallas County,10.7,6.0,7.25,2020
20210118073948,01047,Alabama,Dallas County,10.7,6.0,7.25,2021
20130529101931,01049,Alabama,DeKalb County,7.77,5.21,7.25,2013
20150910080951,01049,Alabama,DeKalb County,9.2,5.0,7.25,2015
20160311155403,01049,Alabama,DeKalb County,9.2,5.0,7.25,2016
20170608142719,01049,Alabama,DeKalb County,9.89,5.0,7.25,2017
20190715174504,01049,Alabama,DeKalb County,11.07,5.84,7.25,2019
20201027043040,01049,Alabama,DeKalb County,10.54,6.0,7.25,2020
20210121055017,01049,Alabama,DeKalb County,10.54,6.0,7.25,2021
20130602050556,01051,Alabama,Elmore County,8.9,5.21,7.25,2013
20150910082622,01051,Alabama,Elmore County,10.64,5.0,7.25,2015
20160311155407,01051,Alabama,Elmore County,10.64,5.0,7.25,2016
20170608142724,01051,Alabama,Elmore County,10.67,5.0,7.25,2017
20180531201325,01051,Alabama,Elmore County,11.1,5.0,7.25,2018
20190122185303,01051,Alabama,Elmore County,11.1,5.8,7.25,2019
20200921035133,01051,Alabama,Elmore County,11.18,6.0,7.25,2020
20210225194343,01051,Alabama,Elmore County,14.17,6.13,7.25,2021
20130530021405,01053,Alabama,Escambia County,8.11,5.21,7.25,2013
20150910084343,01053,Alabama,Escambia County,9.91,5.0,7.25,2015
20160311155413,01053,Alabama,Escambia County,9.91,5.0,7.25,2016
20170310084858,01053,Alabama,Escambia County,9.93,5.0,7.25,2017
20190715174509,01053,Alabama,Escambia County,10.92,5.84,7.25,2019
20200921042248,01053,Alabama,Escambia County,10.6,6.0,7.25,2020
20210225195027,01053,Alabama,Escambia County,13.46,6.13,7.25,2021
20130602072911,01055,Alabama,Etowah County,7.68,5.21,7.25,2013
20150910091046,01055,Alabama,Etowah County,9.23,5.0,7.25,2015
20160101231028,01055,Alabama,Etowah County,9.23,5.0,7.25,2016
20170608135010,01055,Alabama,Etowah County,9.59,5.0,7.25,2017
20180124170338,01055,Alabama,Etowah County,9.59,5.0,7.25,2018
20190726223419,01055,Alabama,Etowah County,10.79,5.84,7.25,2019
20200927212547,01055,Alabama,Etowah County,10.63,6.0,7.25,2020
20210119003257,01055,Alabama,Etowah County,10.63,6.0,7.25,2021
20130530044830,01057,Alabama,Fayette County,7.42,5.21,7.25,2013
20150910134840,01057,Alabama,Fayette County,9.89,5.0,7.25,2015
20160310063247,01057,Alabama,Fayette County,9.89,5.0,7.25,2016
20170608155454,01057,Alabama,Fayette County,9.98,5.0,7.25,2017
20190715174514,01057,Alabama,Fayette County,10.72,5.84,7.25,2019
20200813205612,01057,Alabama,Fayette County,10.6,6.0,7.25,2020
20210118083822,01057,Alabama,Fayette County,10.6,6.0,7.25,2021
20130602045323,01059,Alabama,Franklin County,7.4,5.21,7.25,2013
20140717203737,01059,Alabama,Franklin County,7.4,5.21,7.25,2014
20150910084126,01059,Alabama,Franklin County,9.67,5.0,7.25,2015
20160311155418,01059,Alabama,Franklin County,9.67,5.0,7.25,2016
20170608140032,01059,Alabama,Franklin County,9.91,5.0,7.25,2017
20190715174719,01059,Alabama,Franklin County,10.72,5.84,7.25,2019
20200813210223,01059,Alabama,Franklin County,10.6,6.0,7.25,2020
20210117071610,01059,Alabama,Franklin County,10.6,6.0,7.25,2021
20130602073221,01061,Alabama,Geneva County,7.89,5.21,7.25,2013
20150910091204,01061,Alabama,Geneva County,9.61,5.0,7.25,2015
20160311155423,01061,Alabama,Geneva County,9.61,5.0,7.25,2016
20190715174723,01061,Alabama,Geneva County,11.04,5.84,7.25,2019
20201027044515,01061,Alabama,Geneva County,10.75,6.0,7.25,2020
20210121060145,01061,Alabama,Geneva County,10.75,6.0,7.25,2021
20130602022819,01063,Alabama,Greene County,8.39,5.21,7.25,2013
20150910135104,01063,Alabama,Greene County,10.1,5.0,7.25,2015
20160311155428,01063,Alabama,Greene County,10.1,5.0,7.25,2016
20170608142729,01063,Alabama,Greene County,9.92,5.0,7.25,2017
20190715174728,01063,Alabama,Greene County,10.72,5.84,7.25,2019
20201022174429,01063,Alabama,Greene County,10.6,6.0,7.25,2020
20210124053131,01063,Alabama,Greene County,10.6,6.0,7.25,2021
20220127044421,01063,Alabama,Greene County,12.81,6.13,7.25,2022
20130602064655,01065,Alabama,Hale County,8.39,5.21,7.25,2013
20150910083304,01065,Alabama,Hale County,10.1,5.0,7.25,2015
20160311155433,01065,Alabama,Hale County,10.1,5.0,7.25,2016
20170608152521,01065,Alabama,Hale County,10.7,5.0,7.25,2017
20190715174733,01065,Alabama,Hale County,11.48,5.84,7.25,2019
20200926213716,01065,Alabama,Hale County,11.69,6.0,7.25,2020
20210118232617,01065,Alabama,Hale County,11.69,6.0,7.25,2021
20130530001446,01067,Alabama,Henry County,7.4,5.21,7.25,2013
20150910084247,01067,Alabama,Henry County,9.61,5.0,7.25,2015
20160311155438,01067,Alabama,Henry County,9.61,5.0,7.25,2016
20170608162810,01067,Alabama,Henry County,9.92,5.0,7.25,2017
20190715174738,01067,Alabama,Henry County,11.08,5.84,7.25,2019
20200807033845,01067,Alabama,Henry County,10.6,6.0,7.25,2020
20210121050845,01067,Alabama,Henry County,10.6,6.0,7.25,2021
20130529172424,01069,Alabama,Houston County,7.89,5.21,7.25,2013
20150910140126,01069,Alabama,Houston County,9.61,5.0,7.25,2015
20160311155443,01069,Alabama,Houston County,9.61,5.0,7.25,2016
20170310081054,01069,Alabama,Houston County,9.78,5.0,7.25,2017
20190715174743,01069,Alabama,Houston County,11.04,5.84,7.25,2019
20200921193411,01069,Alabama,Houston County,10.75,6.0,7.25,2020
20210117130014,01069,Alabama,Houston County,10.75,6.0,7.25,2021
20220127053303,01069,Alabama,Houston County,13.02,6.13,7.25,2022
20130530015548,01071,Alabama,Jackson County,8.11,5.21,7.25,2013
20150222061031,01071,Alabama,Jackson County,8.11,5.21,7.25,2015
20160831174428,01071,Alabama,Jackson County,9.91,5.0,7.25,2016
20170608135015,01071,Alabama,Jackson County,9.99,5.0,7.25,2017
20190715174748,01071,Alabama,Jackson County,10.17,5.84,7.25,2019
20200928091213,01071,Alabama,Jackson County,10.24,6.0,7.25,2020
20210124223102,01071,Alabama,Jackson County,10.24,6.0,7.25,2021
20121130072900,01073,Alabama,Jefferson County,9.2,5.21,7.25,2012
20130602043548,01073,Alabama,Jefferson County,9.2,5.21,7.25,2013
20150611200601,01073,Alabama,Jefferson County,10.36,5.0,7.25,2015
20160228002610,01073,Alabama,Jefferson County,10.36,5.0,7.25,2016
20170310074813,01073,Alabama,Jefferson County,10.33,5.0,7.25,2017
20180110064746,01073,Alabama,Jefferson County,10.98,5.0,7.25,2018
20190210203238,01073,Alabama,Jefferson County,12.09,5.84,7.25,2019
20200926222443,01073,Alabama,Jefferson County,12.0,6.0,7.25,2020
20210119001452,01073,Alabama,Jefferson County,12.0,6.0,7.25,2021
20130602031456,01075,Alabama,Lamar County,7.47,5.21,7.25,2013
20150910134114,01075,Alabama,Lamar County,9.89,5.0,7.25,2015
20160311155449,01075,Alabama,Lamar County,9.89,5.0,7.25,2016
20170608163835,01075,Alabama,Lamar County,9.98,5.0,7.25,2017
20190715174753,01075,Alabama,Lamar County,10.72,5.84,7.25,2019
20200804003349,01075,Alabama,Lamar County,10.6,6.0,7.25,2020
20210122002635,01075,Alabama,Lamar County,10.6,6.0,7.25,2021
20220122205604,01075,Alabama,Lamar County,12.81,6.13,7.25,2022
20130602063954,01077,Alabama,Lauderdale County,8.44,5.21,7.25,2013
20150910082503,01077,Alabama,Lauderdale County,10.17,5.0,7.25,2015
